"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"173","Cameron Payne","Pho","G","28.6","44","21","24.7","15.4","62","0.758","252","0.452","177","0.373","0.497","0.518","10.8","2.3","4.6","0.7","0.2","1.8","13.1","15.4","17.7","9.2","106.7","109.1"
"174","Mike Conley","Uta","G","35.5","43","29.7","16.1","16.5","96","0.813","162","0.469","213","0.362","0.511","0.552","10.7","2.5","7.7","1","0.2","1.7","13.2","18.4","20.9","8","123.1","114"
"175","Jalen McDaniels","Cha","F-C","25.2","56","26.7","17.4","13.8","104","0.846","292","0.534","202","0.322","0.513","0.551","10.6","4.8","2","1.2","0.5","1.4","15.4","12.6","17.4","7","106.5","106.7"
"176","Grayson Allen","Mil","G","27.5","71","27.5","14.7","11.5","126","0.905","190","0.516","364","0.401","0.572","0.614","10.5","3.3","2.3","0.9","0.2","1","13.8","12.8","16.1","6.3","123.6","109.8"
"177","Tyus Jones","Mem","G","26.9","75","24.2","17.9","9.4","96","0.792","368","0.495","303","0.38","0.528","0.55","10.5","2.5","5.1","1","0.1","0.9","12.9","15.5","18","8.5","122.3","114.7"
"178","Luke Kennard","Mem","G","26.8","20","23.1","13.7","8.3","17","0.941","30","0.433","103","0.544","0.729","0.747","10.5","2.9","2.2","0.6","0.1","0.6","13.4","12.7","15.6","7","145.6","110.3"
"179","Terrence Ross","Pho","G-F","32.1","15","18.2","21.6","3.7","12","0.833","49","0.551","79","0.392","0.574","0.589","10.5","3.3","1.7","0.5","0","0.3","13.7","12.1","15.4","8.6","124","101.8"
"180","Cam Thomas","Bro","G","21.5","53","16.8","27.6","12.1","166","0.861","297","0.468","124","0.363","0.49","0.563","10.5","1.7","1.5","0.4","0.1","1.1","12.2","11.9","13.7","7.1","108","114.4"
"181","Ivica Zubac","Lac","C","26","71","28.6","14.7","19.1","219","0.689","471","0.633","2","0","0.63","0.656","10.5","9.9","1.1","0.4","1.3","1.6","20.4","11.6","21.5","6.8","125.8","104.9"
"182","Quentin Grimes","Nyk","G","22.9","66","29.3","14.1","11.1","86","0.791","173","0.624","356","0.376","0.584","0.605","10.4","3.3","2","0.6","0.4","1","13.7","12.4","15.7","5.6","121.4","109.9"
"183","De'Anthony Melton","Phi","G","24.8","73","28.1","16.6","13.6","83","0.795","240","0.479","388","0.399","0.553","0.573","10.4","4.2","2.6","1.7","0.5","1.4","14.6","13.1","17.2","6.9","112.5","105.5"
"184","Monte Morris","Was","G","27.8","61","27.6","15.7","10.5","76","0.829","309","0.547","201","0.383","0.558","0.581","10.4","3.4","5.3","0.7","0.2","1","13.8","15.6","19","8.3","125.2","115.3"
"185","Corey Kispert","Was","F","24.1","68","28.1","13.5","9.3","74","0.851","174","0.632","332","0.422","0.632","0.653","10.3","2.8","1.2","0.5","0.1","0.8","13.1","11.6","14.3","4.6","123.4","116.3"
"186","Sandro Mamukelashvili","San","F-C","23.9","13","22.3","19.5","11.9","24","0.708","63","0.524","48","0.333","0.514","0.539","10.1","6.2","2.3","0.4","0.3","1.2","16.3","12.4","18.6","9.4","114.3","113"
"187","Brandon Clarke","Mem","F","26.5","56","19.5","17.7","13.6","137","0.723","343","0.665","6","0.167","0.658","0.682","10","5.5","1.3","0.6","0.7","1","15.5","11.3","16.8","8.5","131.1","100.6"
"188","Doug McDermott","San","F","31.2","62","20.6","19","10.4","61","0.738","215","0.512","286","0.416","0.576","0.589","10","2.2","1.5","0.2","0.1","0.9","12.2","11.5","13.7","6.2","111.9","116.6"
"189","Aaron Nesmith","Ind","G-F","23.5","68","24.9","16.8","11.6","125","0.848","256","0.504","292","0.36","0.523","0.563","10","3.7","1.4","0.8","0.5","1.1","13.7","11.3","15.1","6","110.2","108.5"
"190","Victor Oladipo","Mia","G","30.9","40","26.4","20.1","17.5","75","0.773","179","0.469","188","0.309","0.466","0.5","10","3.1","3.4","1.3","0.3","2","13.1","13.4","16.5","7.2","97.8","106.1"
"191","Patrick Williams","Chi","F","21.6","76","28.4","15.5","13.6","98","0.867","367","0.499","250","0.412","0.547","0.576","10","4","1.2","0.9","0.8","1.3","14","11.2","15.3","5.1","108.3","110.4"
"192","Killian Hayes","Det","G","21.7","70","27.6","20.5","17.1","84","0.786","482","0.421","260","0.281","0.421","0.444","9.9","2.8","6.1","1.4","0.3","2.2","12.7","16","18.8","8","97.3","110.9"
"193","Talen Horton-Tucker","Uta","G","22.3","62","19.5","25","17.8","139","0.734","357","0.487","189","0.291","0.47","0.506","9.9","3.1","3.6","0.6","0.5","1.9","13","13.5","16.7","9.8","103.2","111.1"
"194","Caleb Martin","Mia","F","27.5","66","29.5","14.6","12.6","109","0.798","291","0.54","228","0.364","0.542","0.573","9.8","5","1.6","1","0.5","1.1","14.8","11.4","16.4","5.8","113.2","108.6"
"195","Onyeka Okongwu","Atl","F-C","22.3","74","23.2","14.9","14","182","0.769","446","0.652","8","0.25","0.648","0.682","9.8","7.2","1","0.7","1.3","1","17.1","10.9","18.1","7.1","135.8","103.5"
"196","Al Horford","Bos","C-F","36.8","61","30.5","11.9","7.3","21","0.714","151","0.536","308","0.451","0.631","0.634","9.7","6.2","3","0.5","1","0.6","15.9","12.7","18.9","7.4","133.6","108.4"
"197","Jonathan Kuminga","Gol","F","20.5","62","20.7","19.7","16.3","123","0.65","320","0.584","137","0.358","0.57","0.588","9.7","3.3","1.8","0.6","0.5","1.4","13","11.5","14.8","7.5","110.3","107.1"
"198","Malaki Branham","San","F","19.9","60","23.1","18.5","11.8","61","0.803","301","0.538","222","0.306","0.505","0.525","9.6","2.7","2","0.5","0.1","1.2","12.3","11.6","14.2","6.5","103","117.2"
"199","Jalen Suggs","Orl","G","21.8","47","23.7","20.2","17.8","103","0.709","219","0.498","174","0.31","0.483","0.517","9.6","2.9","3.1","1.3","0.5","1.8","12.6","12.7","15.6","7.5","103.3","106.8"
"200","Seth Curry","Bro","G","32.6","56","20.7","19.1","10.3","49","0.98","205","0.522","222","0.405","0.567","0.593","9.5","1.7","1.7","0.6","0.1","0.9","11.2","11.2","12.9","5.8","113.1","112.4"
"201","Josh Hart","Por","G","28.1","51","33.4","12.7","17.9","119","0.731","251","0.594","112","0.304","0.551","0.586","9.5","8.2","3.9","1.1","0.2","1.5","17.7","13.5","21.6","8.1","121.8","111.3"
"202","Gabe Vincent","Mia","G","26.8","63","26.1","17.5","14.6","76","0.882","201","0.512","325","0.332","0.504","0.534","9.5","2.1","2.4","0.9","0.1","1.4","11.6","11.9","14","5.6","103.3","107.8"
"203","T.J. Warren","Bro","F","29.6","26","18.9","20.9","7.8","33","0.818","152","0.566","48","0.333","0.55","0.576","9.5","2.8","1.1","0.6","0.3","0.7","12.3","10.6","13.4","6.5","112.6","109.3"
"204","Chris Boucher","Tor","F-C","30.2","70","20.2","17.9","7.2","156","0.75","314","0.589","176","0.324","0.552","0.589","9.4","5.7","0.4","0.6","0.9","0.5","15.1","9.8","15.5","5.5","125.5","106.6"
"205","Isaiah Joe","Okc","G","23.7","69","18.8","17.5","6.7","86","0.826","102","0.569","371","0.418","0.614","0.638","9.4","2.4","1.2","0.6","0.1","0.5","11.8","10.6","13","6.4","127.1","111.1"
"206","Herbert Jones","Nor","F","24.5","61","29.1","14.5","14.9","143","0.741","302","0.533","154","0.312","0.511","0.551","9.4","4","2.4","1.6","0.6","1.3","13.4","11.8","15.8","6.2","112.9","103.9"
"207","Naji Marshall","Nor","F","25.2","72","24","17.8","14.3","168","0.792","338","0.518","214","0.304","0.494","0.542","9.4","3.7","2.5","0.7","0.2","1.3","13.2","11.9","15.7","7.4","109.2","109.5"
"208","Kyle Anderson","Min","F-G","29.5","64","28.1","14.5","17.8","136","0.735","356","0.525","96","0.417","0.546","0.58","9.3","5.4","4.8","1.2","0.9","1.5","14.7","14","19.4","8.9","119.3","108.9"
"209","Hamidou Diallo","Det","G","24.7","56","17.8","21.8","15.9","148","0.588","354","0.593","21","0.238","0.58","0.593","9.3","3.5","1","0.9","0.3","1.3","12.8","10.3","13.8","7.2","109.5","107.1"
"210","Coby White","Chi","G","23.1","68","23.1","17.6","10.4","66","0.864","215","0.521","318","0.371","0.542","0.565","9.3","2.7","2.6","0.8","0.1","0.9","12","11.9","14.6","7","112.6","109.2"
