"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Joel Embiid","Phi","C-F","29","62","34.7","37.2","14.7","737","0.856","1064","0.58","188","0.34","0.569","0.652","33.2","10.2","4.2","1.1","1.7","3.5","43.3","37.4","47.5","13","124.1","103.6"
"2","Luka Doncic","Dal","F-G","24.1","62","36.3","38.1","14.2","666","0.74","866","0.582","507","0.349","0.56","0.61","32.8","8.7","8.1","1.4","0.5","3.7","41.4","40.9","49.6","14.6","120.2","108.8"
"3","Damian Lillard","Por","G","32.7","58","36.3","33.9","13.7","558","0.914","544","0.574","658","0.371","0.564","0.645","32.2","4.8","7.3","0.9","0.3","3.3","36.9","39.5","44.3","11.5","126.8","116.9"
"4","Shai Gilgeous-Alexander","Okc","G-F","24.7","64","35.5","32.9","12.4","686","0.904","1144","0.532","157","0.35","0.532","0.625","31.3","4.8","5.4","1.7","1","2.9","36.1","36.7","41.5","10.5","124.3","109.9"
"5","Giannis Antetokounmpo","Mil","F","28.3","61","32.1","38.8","15.9","742","0.648","1076","0.593","170","0.276","0.569","0.604","31.1","11.8","5.6","0.8","0.8","3.9","42.9","36.7","48.5","15.8","116.9","100.4"
"6","Jayson Tatum","Bos","F-G","25.1","71","37.2","32.8","12.1","597","0.856","845","0.554","665","0.35","0.541","0.605","30.2","8.9","4.6","1","0.7","2.9","39.1","34.9","43.7","11.5","118.1","107"
"7","Kevin Durant","Bro","F","34.5","39","36","31.5","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.5","110.8"
"8","Stephen Curry","Gol","G","35","51","34.9","31","14.1","258","0.911","446","0.587","584","0.428","0.618","0.66","29.6","6.3","6.4","1","0.3","3.3","35.8","35.9","42.2","12.2","123","111.9"
"9","LeBron James","Lal","F","38.2","49","35.8","33.3","12.5","307","0.765","760","0.588","330","0.306","0.549","0.584","29.2","8.4","6.8","0.9","0.5","3.2","37.6","36","44.4","13.3","114.9","110.1"
"10","Devin Booker","Pho","G","26.4","49","34.6","32.1","11.7","329","0.848","713","0.551","287","0.366","0.551","0.603","28.2","4.6","5.4","0.9","0.4","2.7","32.8","33.6","38.2","10.3","119.2","109.1"
"11","Donovan Mitchell","Cle","G","26.6","65","35.6","31.9","11.2","342","0.871","723","0.557","608","0.38","0.563","0.606","27.6","4.2","4.5","1.5","0.4","2.6","31.9","32.1","36.3","9","118.1","107.1"
"12","Kyrie Irving","Bro","G","31","40","36.9","29.7","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","118.1","111.8"
"13","Jaylen Brown","Bos","G-F","26.4","65","35.9","31.4","12.5","340","0.768","862","0.58","473","0.342","0.557","0.588","26.9","6.9","3.4","1.1","0.4","2.9","33.7","30.3","37.2","9.6","110.9","106.5"
"14","Ja Morant","Mem","G","23.6","57","32.1","35.5","14.2","483","0.754","879","0.515","285","0.309","0.503","0.557","26.9","5.8","8.1","1.1","0.3","3.4","32.7","35","40.8","13.5","114.7","109.2"
"15","Mikal Bridges","Bro","F","26.6","21","35","29","9.1","141","0.908","243","0.535","137","0.423","0.571","0.636","26.8","4.6","2.7","0.9","0.7","1.8","31.4","29.5","34.1","7.9","122.4","114.8"
"16","Trae Young","Atl","G","24.5","69","34.6","33","17.5","595","0.884","890","0.475","440","0.345","0.489","0.574","26.5","3","10","1.1","0.1","4.1","29.5","36.4","39.5","10.7","116.3","117.3"
"17","Anthony Davis","Lal","F-C","30.1","50","33.9","28.6","11.5","397","0.786","790","0.592","70","0.271","0.577","0.631","26.1","12.4","2.6","1","2","2.2","38.5","28.7","41.1","11.1","124.5","104.6"
"18","Kyrie Irving","Dal","G","31","17","37.2","27.6","9.2","83","0.94","189","0.571","128","0.391","0.577","0.628","26.1","5.2","5.9","1.2","0.6","1.9","31.3","32","37.2","10","127","111.5"
"19","Zion Williamson","Nor","F","22.7","29","33","30.3","17.4","248","0.714","450","0.618","19","0.368","0.615","0.652","26","7","4.6","1.1","0.6","3.4","33","30.6","37.6","11.4","120.2","108"
"20","Lauri Markkanen","Uta","F-C","25.9","65","34.4","26.5","10","393","0.873","621","0.586","503","0.396","0.589","0.643","25.7","8.6","1.9","0.6","0.6","1.9","34.3","27.5","36.2","8.7","126.1","112.8"
"21","De'Aaron Fox","Sac","G","25.3","68","33.7","29.9","12.3","419","0.773","898","0.584","340","0.335","0.561","0.603","25.2","4.1","6.1","1.2","0.3","2.5","29.4","31.3","35.4","10.2","119.1","111.7"
"22","Julius Randle","Nyk","F-C","28.3","77","35.5","29.6","13.1","531","0.757","796","0.553","636","0.343","0.536","0.581","25.1","10","4.1","0.6","0.3","2.8","35.1","29.2","39.2","11.4","116.8","106"
"23","Zach LaVine","Chi","G-F","28.1","72","36.2","28.2","12.8","402","0.848","788","0.553","510","0.382","0.561","0.61","25","4.6","4.2","0.9","0.2","2.6","29.5","29.1","33.7","8.7","115.5","111.4"
"24","DeMar DeRozan","Chi","G-F","33.6","69","36.5","27.8","10.8","498","0.867","1091","0.53","127","0.339","0.528","0.597","24.9","4.7","5.1","1.1","0.5","2.1","29.6","30","34.7","9.2","119.4","109.6"
"25","Nikola Jokic","Den","C","28.1","67","33.9","27.3","19","412","0.823","858","0.676","146","0.39","0.663","0.704","24.9","11.9","9.9","1.2","0.7","3.5","36.8","34.8","46.7","16.9","136","105.6"
"26","Anthony Edwards","Min","G","21.7","74","36.1","29.6","14.5","391","0.76","891","0.517","541","0.368","0.53","0.566","24.5","5.8","4.5","1.6","0.7","3.3","30.3","29","34.8","9.5","106.4","110.3"
"27","Brandon Ingram","Nor","F","25.6","40","33.3","30.9","14.7","226","0.881","584","0.503","152","0.401","0.524","0.581","24.3","5.3","5.5","0.6","0.4","3.2","29.5","29.8","35","10.7","111.6","108"
"28","Pascal Siakam","Tor","F","29","66","37.5","27.3","11.7","451","0.767","955","0.517","271","0.328","0.512","0.562","24.3","7.8","5.9","0.8","0.5","2.5","32.1","30.2","38","11.1","117.6","108.7"
"29","Kevin Durant","Pho","F","34.5","4","31.8","26.1","11.7","22","0.864","43","0.581","17","0.529","0.642","0.689","24","7.5","3.8","0.3","1","2","31.5","27.8","35.3","11.1","130","112.3"
"30","Paul George","Lac","F","32.9","56","34.6","29.5","14.9","294","0.871","578","0.521","426","0.371","0.536","0.588","23.8","6.1","5.1","1.5","0.4","3.1","29.9","28.9","35","10.5","112.9","107.6"
"31","Jalen Brunson","Nyk","G","26.6","66","34.9","27","10.6","379","0.834","836","0.517","307","0.41","0.543","0.595","23.6","3.5","6.1","0.9","0.2","2","27.2","29.7","33.3","9.1","124.4","112.1"
"32","Kawhi Leonard","Lac","F","31.8","47","33.6","26.8","9","252","0.869","559","0.553","220","0.414","0.572","0.624","23.6","6.3","4","1.5","0.5","1.6","29.9","27.6","33.9","10","125.6","111.1"
"33","LaMelo Ball","Cha","G","21.6","36","35.2","29.9","15.2","121","0.843","338","0.45","383","0.376","0.51","0.541","23.3","6.4","8.4","1.3","0.3","3.6","29.7","31.7","38.1","12.2","108.4","108.6"
"34","Bradley Beal","Was","G","29.8","50","33.5","29.3","14.2","228","0.842","659","0.552","219","0.365","0.551","0.593","23.2","3.9","5.4","0.9","0.7","2.9","27.1","28.6","32.5","9.4","114","113.5"
"35","Kristaps Porzingis","Was","F-C","27.7","65","32.6","27.6","11.8","416","0.851","662","0.559","356","0.385","0.565","0.627","23.2","8.4","2.7","0.9","1.5","2.1","31.6","25.8","34.2","9.9","122","107"
"36","Jimmy Butler","Mia","F","33.5","61","33.4","25.7","10.4","527","0.85","751","0.553","97","0.351","0.55","0.639","22.6","5.9","5.1","1.8","0.3","1.6","28.5","27.8","33.7","10.5","134.2","111.3"
"37","Keldon Johnson","San","F-G","23.5","61","32.8","27.8","10.9","317","0.748","680","0.524","392","0.332","0.514","0.553","22","5.1","2.9","0.7","0.2","2.1","27.1","24.8","29.9","8.4","108.1","117.9"
"38","Jalen Green","Hou","G","21.1","71","34.1","28.1","13","424","0.788","737","0.472","523","0.335","0.485","0.537","21.9","3.8","3.6","0.8","0.3","2.7","25.7","25.5","29.3","7.8","108.4","119.4"
"39","Darius Garland","Cle","G","23.2","66","35.3","26.9","15.2","315","0.86","673","0.499","401","0.409","0.542","0.592","21.7","2.7","7.8","1.3","0.1","2.9","24.4","29.5","32.2","8.7","118.3","109"
"40","Bojan Bogdanovic","Det","F","34","59","32.1","25.8","13.3","303","0.884","529","0.539","353","0.411","0.57","0.627","21.6","3.8","2.6","0.6","0.1","2.3","25.4","24.2","27.9","7.4","117.8","117.3"
"41","Klay Thompson","Gol","G","33.1","65","33.1","26.3","9","126","0.873","491","0.468","682","0.408","0.552","0.571","21.6","4.2","2.4","0.7","0.4","1.8","25.8","24","28.2","7.3","108.7","114.3"
"42","Desmond Bane","Mem","G","24.8","53","31.3","26.4","12","193","0.886","484","0.527","370","0.408","0.564","0.604","21.4","5","4.2","1","0.4","2.2","26.4","25.6","30.6","9.8","118.3","106.9"
"43","James Harden","Phi","G","33.6","54","37","25.2","18.6","353","0.864","396","0.492","395","0.382","0.533","0.607","21.3","6.3","10.9","1.2","0.5","3.4","27.6","32.1","38.4","12.3","123.8","110.2"
"44","Kyle Kuzma","Was","F","27.7","64","35","28","14.3","237","0.73","661","0.533","481","0.333","0.518","0.544","21.2","7.2","3.7","0.6","0.5","3","28.4","24.9","32.2","9.4","103","111.5"
"45","Terry Rozier","Cha","G","29","63","35.3","26.8","10.1","220","0.809","683","0.48","505","0.327","0.484","0.517","21.1","4.1","5.1","1.2","0.3","2.1","25.2","26.2","30.3","8.6","106.1","114.5"
"46","Anfernee Simons","Por","G","23.8","62","35","25.2","10.9","179","0.894","483","0.528","562","0.377","0.548","0.581","21.1","2.6","4.1","0.7","0.2","2.1","23.7","25.1","27.7","7","113.3","116.9"
"47","CJ McCollum","Nor","G","31.5","70","35.1","26.6","12.3","214","0.785","741","0.467","511","0.391","0.516","0.542","20.9","4.3","5.9","0.9","0.5","2.5","25.2","26.7","31","9.2","109.6","110.8"
"48","Jordan Clarkson","Uta","G","30.8","61","32.6","27.8","15.3","245","0.816","572","0.53","459","0.338","0.519","0.558","20.8","4","4.4","0.5","0.2","3","24.9","25.3","29.3","8.8","108.8","115.9"
"49","Bam Adebayo","Mia","C-F","25.7","72","35.2","25.4","14.6","396","0.803","1078","0.544","12","0.083","0.539","0.59","20.7","9.4","3.3","1.2","0.8","2.6","30.1","24","33.4","9.8","115.4","105.4"
"50","Tyrese Haliburton","Ind","G","23.1","56","33.6","23.9","14.4","203","0.867","439","0.572","402","0.4","0.586","0.624","20.7","3.7","10.4","1.6","0.4","2.5","24.4","31.2","34.8","11","128.8","118.8"
"51","Karl-Anthony Towns","Min","C-F","27.4","24","33.4","25.6","17.8","110","0.891","215","0.586","139","0.353","0.564","0.618","20.7","7.9","5","0.8","0.6","3.2","28.6","25.7","33.5","11.2","115.7","104.9"
"52","Jerami Grant","Por","F","29.1","63","35.6","22.9","11.3","342","0.813","554","0.523","359","0.401","0.554","0.606","20.5","4.5","2.4","0.8","0.8","1.8","25","22.9","27.3","6.8","117.5","115.4"
"53","Tyrese Maxey","Phi","G","22.4","57","33.4","24.6","7.8","207","0.841","527","0.516","355","0.425","0.565","0.602","20.5","2.9","3.6","0.8","0.1","1.3","23.5","24.1","27.1","7.2","120","111.5"
"54","Dejounte Murray","Atl","G","26.5","69","36.4","24.6","10.7","179","0.827","869","0.504","372","0.349","0.51","0.536","20.5","5.3","6.1","1.5","0.3","2.1","25.8","26.6","31.9","9.6","111.5","115.4"
"55","Tyler Herro","Mia","G","23.2","63","35.3","25.7","12.6","172","0.93","544","0.5","513","0.378","0.533","0.568","20.4","5.5","4.2","0.8","0.3","2.4","25.9","24.7","30.1","8.8","109.2","111.8"
"56","Jordan Poole","Gol","G","23.8","77","30.4","29","16.5","382","0.872","612","0.525","598","0.333","0.512","0.57","20.4","2.8","4.5","0.8","0.2","3.1","23.2","24.9","27.7","8.4","108.1","112"
"57","Kelly Oubre Jr.","Cha","F-G","27.3","48","32.2","26.4","7.2","208","0.76","480","0.51","339","0.319","0.497","0.534","20.3","5.2","1.1","1.4","0.4","1.3","25.4","21.4","26.6","6.1","106.6","109.2"
"58","Jamal Murray","Den","G","26.1","62","33.1","26.3","12.1","211","0.829","592","0.49","413","0.4","0.535","0.569","20.2","4","6.2","1","0.2","2.2","24.2","26.4","30.4","9.6","115.9","113.9"
"59","Paolo Banchero","Orl","F","20.4","69","33.8","27.5","14.9","503","0.742","806","0.471","274","0.292","0.463","0.528","19.9","6.8","3.7","0.9","0.5","2.7","26.7","23.6","30.4","9.4","104.9","109.9"
"60","Cade Cunningham","Det","G","21.5","12","33.4","29.9","14.8","43","0.837","163","0.466","61","0.279","0.453","0.492","19.9","6.2","6","0.8","0.6","3.3","26.1","25.9","32.1","10.8","100.1","112.5"
"61","Fred VanVleet","Tor","G","29.1","64","36.9","23.2","11","259","0.896","479","0.457","565","0.349","0.493","0.544","19.7","4.1","7","1.8","0.6","2","23.8","26.8","30.9","9","117.2","110.1"
"62","RJ Barrett","Nyk","F-G","22.8","70","33.9","26.2","12.4","378","0.743","747","0.493","371","0.318","0.487","0.534","19.6","5","2.7","0.4","0.2","2.3","24.6","22.3","27.4","7.6","107","111"
"63","Jrue Holiday","Mil","G","32.8","64","32.5","25","16","174","0.862","581","0.539","393","0.382","0.552","0.583","19.2","5","7.3","1.1","0.4","2.9","24.2","26.5","31.5","10.9","117.5","109.3"
"64","Domantas Sabonis","Sac","F-C","26.9","74","34.8","21.3","19.6","410","0.759","801","0.637","79","0.354","0.627","0.667","19.1","12.4","7.2","0.8","0.5","2.9","31.6","26.3","38.8","13.7","132.6","105.4"
"65","Franz Wagner","Orl","F","21.6","75","33","23.4","12.9","301","0.837","711","0.549","348","0.362","0.547","0.592","18.8","4.1","3.6","0.9","0.2","2.1","22.9","22.4","26.5","7.9","115.4","111"
"66","Kevin Porter Jr.","Hou","G-F","22.9","55","34.2","24.4","17.9","247","0.785","472","0.502","346","0.35","0.512","0.556","18.7","5.5","5.8","1.3","0.3","3.2","24.2","24.6","30.1","9.8","110.9","114.9"
"67","D'Angelo Russell","Lal","G","27.1","12","30.9","23.9","14","41","0.78","85","0.553","80","0.4","0.576","0.606","18.5","3.2","6.2","0.7","0.6","2.3","21.7","24.7","27.8","9.3","119.3","113.9"
"68","Devin Vassell","San","G-F","22.6","38","31","24.5","8.7","100","0.78","329","0.48","266","0.387","0.525","0.55","18.5","3.9","3.6","1.1","0.4","1.5","22.4","22.1","26","8.2","110.1","118.6"
"69","Deandre Ayton","Pho","C","24.7","63","30.4","23.1","11.8","185","0.757","822","0.596","24","0.292","0.592","0.615","18.1","10","1.8","0.6","0.8","1.8","28.1","19.9","29.9","9.1","118.7","104.9"
"70","Myles Turner","Ind","C-F","27","62","29.4","22.1","12.3","276","0.783","484","0.638","250","0.372","0.611","0.651","18","7.5","1.4","0.6","2.3","1.7","25.5","19.4","26.9","7.8","121.7","107.7"
"71","Jaren Jackson Jr.","Mem","F-C","23.5","58","28.1","24.2","11.5","271","0.779","481","0.59","256","0.34","0.562","0.607","17.9","6.7","0.9","1.1","3.1","1.7","24.7","18.8","25.6","6.8","117","100"
"72","D'Angelo Russell","Min","G","27.1","54","32.9","22.8","16.8","167","0.856","348","0.546","378","0.392","0.567","0.605","17.9","3.1","6.2","1.1","0.4","2.7","21","24.1","27.1","8.5","115.4","113.1"
"73","Spencer Dinwiddie","Dal","G","30","53","34.1","21.9","11.4","207","0.821","353","0.504","341","0.405","0.555","0.599","17.7","3.1","5.2","0.7","0.3","1.7","20.8","23","26.1","7.7","120.8","113.7"
"74","Gary Trent Jr.","Tor","G-F","24.2","63","32.6","21.7","5.5","198","0.838","470","0.494","437","0.371","0.524","0.561","17.7","2.7","1.6","1.6","0.2","0.8","20.4","19.3","22","5.2","116.5","113.7"
"75","Nikola Vucevic","Chi","C","32.4","76","33.8","21.7","11.1","143","0.832","737","0.592","331","0.356","0.574","0.595","17.7","11.1","3.3","0.7","0.7","1.8","28.8","21","32.2","10.2","117.9","106.1"
"76","Mikal Bridges","Pho","F","26.6","56","36.4","19.2","9.3","174","0.897","503","0.503","261","0.387","0.529","0.574","17.2","4.3","3.6","1.2","0.8","1.4","21.6","20.8","25.2","7.1","118.6","112.8"
"77","Spencer Dinwiddie","Bro","G","30","21","35.4","23","14.2","107","0.785","167","0.497","122","0.303","0.479","0.537","17.2","4.1","8.4","1.1","0.3","2.3","21.3","25.6","29.7","9.5","114.6","112.1"
"78","Michael Porter Jr.","Den","F","24.8","59","29","22.4","7.7","112","0.804","344","0.578","422","0.415","0.602","0.621","17.2","5.4","1.1","0.6","0.5","1.1","22.6","18.2","23.6","6.4","118.2","110.8"
"79","Andrew Wiggins","Gol","F","28.1","37","32.2","21.5","8.3","72","0.611","304","0.53","225","0.396","0.557","0.564","17.1","5","2.3","1.2","0.8","1.3","22.1","19.4","24.4","7.2","112.6","109.7"
"80","O.G. Anunoby","Tor","F","25.7","62","35.7","19.7","13.7","165","0.836","484","0.537","335","0.388","0.556","0.588","16.9","5.1","1.9","1.9","0.7","2.1","22","18.8","23.9","6.1","112","108.5"
"81","Buddy Hield","Ind","G","30.3","75","31.6","20.9","11.8","121","0.826","348","0.514","643","0.421","0.591","0.609","16.9","5","2.8","1.2","0.3","1.8","22","19.7","24.7","7.8","114.6","115.3"
"82","Christian Wood","Dal","F","27.5","64","26.1","26.4","13.5","270","0.778","473","0.603","266","0.368","0.585","0.626","16.8","7.4","1.8","0.5","1","1.8","24.2","18.6","26","9.3","117.7","106.1"
"83","Cameron Johnson","Bro","F","27.1","20","30.4","21.8","7.5","73","0.836","110","0.555","137","0.365","0.551","0.597","16.7","4.7","2.1","1.4","0.4","1","21.4","18.7","23.4","7.2","118.4","110"
"84","Norman Powell","Lac","G","29.9","55","25.7","25.9","12.7","243","0.802","367","0.523","272","0.408","0.561","0.611","16.6","2.9","1.7","0.8","0.3","1.7","19.5","18.3","21.2","6.8","114.4","110.3"
"85","Josh Giddey","Okc","G","20.5","72","31.1","24.6","16.3","130","0.746","841","0.526","213","0.329","0.519","0.536","16.5","7.9","6.2","0.8","0.4","2.8","24.4","22.7","30.6","12","109.3","110.3"
"86","Bennedict Mathurin","Ind","G-F","20.8","73","28","24.8","13","410","0.827","593","0.492","298","0.319","0.488","0.564","16.5","4","1.4","0.6","0.1","1.8","20.5","18","21.9","6.5","109.2","116.1"
"87","Evan Mobley","Cle","C","21.8","75","34.5","20.4","13.8","296","0.672","808","0.598","99","0.212","0.567","0.592","16.4","9","2.8","0.8","1.5","1.9","25.4","19.2","28.2","8.6","117.6","103.7"
"88","Aaron Gordon","Den","F","27.5","64","30","20.9","11.7","293","0.621","536","0.642","163","0.35","0.614","0.629","16.3","6.5","2.9","0.8","0.7","1.5","22.8","19.1","25.6","9","126.1","111.3"
"89","Russell Westbrook","Lal","G","34.4","52","28.7","28.9","20.2","238","0.655","516","0.467","213","0.296","0.46","0.496","15.9","6.2","7.5","1","0.4","3.6","22.1","23.4","29.6","12.6","100.9","106.8"
"90","Jaden Ivey","Det","G","21.1","68","30.6","25.1","19.4","334","0.74","565","0.453","307","0.342","0.474","0.527","15.8","3.9","5","0.8","0.3","3.1","19.7","20.8","24.7","8.8","103.3","112"
"91","P.J. Washington","Cha","F","24.6","72","32.9","20.5","10.1","174","0.73","548","0.518","424","0.347","0.519","0.542","15.8","4.9","2.4","0.9","1.1","1.5","20.7","18.2","23.1","6.9","107.2","111.2"
"92","Wendell Carter Jr.","Orl","C-F","24","53","30","20.7","15.2","187","0.749","374","0.628","207","0.348","0.59","0.623","15.6","8.8","2.3","0.5","0.6","2","24.4","17.9","26.7","9.1","119.3","106.2"
"93","Brook Lopez","Mil","C","35","75","30.3","19.2","10.8","180","0.783","503","0.634","353","0.371","0.602","0.627","15.6","6.7","1.3","0.5","2.5","1.4","22.4","16.9","23.7","6.8","121.8","105.8"
